OBJECTID *,Shape *,FID_Macro,SiteID,CC_Num,Waterbody,Location,Date_,Sample_Type,Bioclass,Latitude,Longitude,EPT_S,BI,% Impervious,Drainage,Elevation,Boulder,Cobble,Gravel,Sand,Silt,Other_Substrate,Sub_Desc,Canopy,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Stream_Width,Channel_Width,Avg_Stream_Depth,MaxStream_Depth,Channel_Modification,Instream_Habitat,Substrate,Shade,Region,Basin,FID_Haw_Upper_Nuese_piedmont,FID_Haw_Upper_Nuese,BASIN,FID_Piedmont_statecl
571,Point,223,BB83,3749,BURDENS CR,SR 1945,1986-04-29T00:00:00Z,Full Scale,Fair,35.889444,-78.885556,10,6.878261,0.188367575906,4.3295,249,30,20,20,30,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
572,Point,2641,JB334,10934,UT PERRY CR,DURANT PARK,2010-04-22T00:00:00Z,Qual 4,Fair,35.889383,-78.587354,3,6.0475,NA,1.03,270,<Null>,<Null>,20,80,<Null>,<Null>,NA,10,14.6,67,5.9,7.7,1,4,0.2,0.5,5,11,3,2,<Null>,<Null>,2,2,Neuse,1
573,Point,1641,BB53,4588,MORGAN CR,BE OWASA,1988-07-07T00:00:00Z,Full Scale,Poor,35.892815,-79.016469,4,7.740667,0.0447798789334,41.6,246,0,0,0,99,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
574,Point,1642,BB53,5487,MORGAN CR,BE OWASA,1990-09-04T00:00:00Z,Full Scale,Fair,35.892815,-79.016469,8,7.358768,0.0447798789334,41.6,246,0,0,0,99,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
575,Point,1643,BB53,6085,MORGAN CR,BE OWASA,1993-02-10T00:00:00Z,Full Scale,Fair,35.892815,-79.016469,7,7.079167,0.0447798789334,41.6,246,0,0,10,80,10,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,15,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
576,Point,1644,BB53,6719,MORGAN CR,BE OWASA,1994-09-19T00:00:00Z,Full Scale,Poor,35.892815,-79.016469,6,7.651497,0.0447798789334,41.6,246,0,0,20,70,10,<Null>,NA,90,23,<Null>,<Null>,<Null>,7,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
577,Point,1645,BB53,7515,MORGAN CR,BE OWASA,1998-03-17T00:00:00Z,Full Scale,Fair,35.892815,-79.016469,11,6.45931,0.0447798789334,41.6,246,0,0,10,80,10,<Null>,NA,80,11,200,6.8,10,15,<Null>,0.4,<Null>,4,18,3,10,<Null>,<Null>,1,1,Cape Fear,1
578,Point,1646,BB53,9168,MORGAN CR,BE OWASA,2003-07-07T00:00:00Z,Full Scale,Fair,35.892815,-79.016469,9,6.697727,0.0447798789334,41.6,246,0,0,30,70,0,<Null>,NA,90,25.3,237,7.4,6.6,12,15,0.5,9,5,12,3,10,<Null>,<Null>,1,1,Cape Fear,1
579,Point,1647,BB95,6088,MORGAN CR,BOTANICAL TR,1993-02-10T00:00:00Z,Full Scale,Good-Fair,35.893889,-79.030833,26,5.841401,0.0333411673948,38.6808,262,20,30,10,30,10,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,9,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
580,Point,1648,BB95,6144,MORGAN CR,BOTANICAL TR,1993-04-01T00:00:00Z,EPT,Fair,35.893889,-79.030833,16,5.040625,0.0333411673948,38.6808,262,20,35,15,25,5,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,12,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
581,Point,1649,BB95,7516,MORGAN CR,BOTANICAL TR,1998-03-17T00:00:00Z,Full Scale,Good-Fair,35.893889,-79.030833,20,5.709524,0.0333411673948,38.6808,262,10,30,20,35,5,<Null>,NA,50,<Null>,<Null>,<Null>,<Null>,15,<Null>,0.4,<Null>,5,17,12,10,<Null>,<Null>,1,1,Cape Fear,1
582,Point,940,BB220,3229,HAW R,SR 1005,1984-05-04T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,27,6.004348,0.0564935463975,1042,398,20,50,20,10,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
583,Point,941,BB220,3325,HAW R,SR 1005,1984-09-06T00:00:00Z,Full Scale,Fair,35.895,-79.258333,13,6.433333,0.0564935463975,1042,398,60,10,10,20,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
584,Point,942,BB220,3444,HAW R,SR 1005,1985-05-06T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,24,6.382857,0.0564935463975,1042,398,70,20,0,10,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,50,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
585,Point,943,BB220,3653,HAW R,SR 1005,1985-09-05T00:00:00Z,Full Scale,Good,35.895,-79.258333,23,5.606939,0.0564935463975,1042,398,40,30,10,20,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,40,<Null>,1.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
586,Point,944,BB220,3828,HAW R,SR 1005,1986-07-07T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,19,6.169675,0.0564935463975,1042,398,75,10,10,5,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,40,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
587,Point,945,BB220,4134,HAW R,SR 1005,1987-07-08T00:00:00Z,EPT,Good,35.895,-79.258333,21,5.088889,0.0564935463975,1042,398,60,10,10,20,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,75,<Null>,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
588,Point,946,BB220,4095,HAW R,SR 1005,1987-07-10T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,21,5.925407,0.0564935463975,1042,398,70,10,10,10,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,50,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
589,Point,947,BB220,4624,HAW R,SR 1005,1988-07-13T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,21,6.290299,0.0564935463975,1042,398,40,20,20,20,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,50,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
590,Point,948,BB220,5052,HAW R,SR 1005,1989-08-08T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,18,6.164659,0.0564935463975,1042,398,65,15,5,15,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,50,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
591,Point,949,BB220,5334,HAW R,SR 1005,1990-07-09T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,20,6.099656,0.0564935463975,1042,398,55,25,10,10,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
592,Point,950,BB220,6318,HAW R,SR 1005,1993-07-28T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,18,5.893407,0.0564935463975,1042,398,25,10,15,45,5,<Null>,NA,40,<Null>,<Null>,<Null>,<Null>,60,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
593,Point,951,BB220,7642,HAW R,SR 1005,1998-07-07T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,20,6.252174,0.0564935463975,1042,398,40,30,10,20,0,<Null>,NA,30,30,330,7.8,9.1999999999999993,60,<Null>,1,<Null>,4,11,12,2,<Null>,<Null>,1,1,Cape Fear,1
594,Point,952,BB220,7781,HAW R,SR 1005,1998-11-09T00:00:00Z,Full Scale,Good-Fair,35.895,-79.258333,15,5.805076,0.0564935463975,1042,398,30,30,20,20,0,<Null>,NA,20,<Null>,<Null>,<Null>,<Null>,45,<Null>,1,<Null>,5,15,8,2,<Null>,<Null>,1,1,Cape Fear,1
595,Point,953,BB220,9030,HAW R,SR 1005,2002-10-03T00:00:00Z,EPT,Good-Fair,35.895,-79.258333,20,4.700885,0.0564935463975,1042,398,50,25,10,10,5,<Null>,NA,0,24.3,428,7.6,7.1,35,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
596,Point,954,BB220,10516,HAW R,SR 1005,2008-07-23T00:00:00Z,Full Scale,Good,35.895,-79.258333,25,5.376014,0.0564935463975,1042,398,20,20,10,5,15,30,Bedrock,20,30.2,312,7.4,7,50,50,0.3,1,5,16,10,2,<Null>,<Null>,1,1,Cape Fear,1
597,Point,1267,BB138,7488,L POLECAT CR,SR 2108,1998-02-10T00:00:00Z,EPT,Not Rated,35.893611,-79.720833,14,4.509804,NA,1.45,734,10,25,30,25,10,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,3,<Null>,0.1,<Null>,5,17,11,10,<Null>,<Null>,1,1,Cape Fear,1
598,Point,1638,BB96,4587,MORGAN CR,AB OWASA,1988-07-07T00:00:00Z,Full Scale,Fair,35.896667,-79.024167,13,6.979202,0.0415532794587,2.186,256,5,15,10,70,0,<Null>,NA,6,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
599,Point,1639,BB96,5488,MORGAN CR,AB OWASA,1990-09-04T00:00:00Z,Full Scale,Fair,35.896667,-79.024167,8,7.232721,0.0415532794587,2.186,256,0,20,0,80,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
600,Point,1640,BB96,6718,MORGAN CR,AB OWASA,1994-09-19T00:00:00Z,Full Scale,Fair,35.896667,-79.024167,9,7.287079,0.0415532794587,2.186,256,0,0,20,70,10,<Null>,NA,90,17,<Null>,<Null>,<Null>,4,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
601,Point,1599,BB97,6138,MEETING OF THE WATERS CR,LAUREL HILL RD,1993-04-01T00:00:00Z,EPT,Not Rated,35.897222,-79.034167,2,7.390909,NA,0.94,287,5,20,20,35,20,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,3,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
602,Point,1600,BB97,7529,MEETING OF THE WATERS CR,LAUREL HILL RD,1998-03-11T00:00:00Z,EPT,Not Rated,35.897222,-79.034167,3,7.458333,NA,0.94,287,5,15,25,65,0,<Null>,NA,80,6,<Null>,7.1,<Null>,4,<Null>,0.2,<Null>,4,17,11,10,<Null>,<Null>,1,1,Cape Fear,1
603,Point,242,BB461,7774,CANE CR,DNS SR 2351,1998-08-17T00:00:00Z,Full Scale,Good-Fair,35.896944,-79.371944,15,5.545815,0.00618671090405,35,495,30,30,20,20,0,<Null>,NA,90,22,103,7,4.8,10,<Null>,1,<Null>,5,15,12,10,<Null>,<Null>,1,1,Cape Fear,1
604,Point,2762,BB491,10174,WELLS CR,SR 1005,2007-05-18T00:00:00Z,Qual 4,Not Rated,35.898611,-79.456944,13,5.723494,NA,3.09,583,10,20,40,20,10,<Null>,NA,80,16,97,6.7,8.3000000000000007,2,3,0.3,1,5,13,10,9,<Null>,<Null>,1,1,Cape Fear,1
605,Point,258,BB58,3969,CANE CR,SR 2351,1986-12-09T00:00:00Z,EPT,Fair,35.900833,-79.384722,12,5.667308,NA,34,493,50,30,10,0,10,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,10,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
606,Point,259,BB58,7775,CANE CR,SR 2351,1998-08-17T00:00:00Z,EPT,Not Rated,35.900833,-79.384722,10,4.577273,NA,34,493,30,30,20,20,0,<Null>,NA,50,22,109,6.9,3.4,12,<Null>,0.3,<Null>,5,11,12,7,<Null>,<Null>,1,1,Cape Fear,1
607,Point,1835,BB85,3685,NEW HOPE CR,I-40,1985-10-09T00:00:00Z,Full Scale,Fair,35.905,-78.970833,10,7.391444,0.0636919691705,57.7055,240,0,0,0,99,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
608,Point,2677,JB203,8117,UT TOMS CR,SR 2044,2000-05-12T00:00:00Z,Qual 4,Not Impaired,35.906111,-78.525833,20,5.240991,NA,1.16,192,0,0,5,85,10,<Null>,NA,70,25,57,7.5,7.7,2,<Null>,0.1,<Null>,5,12,3,10,<Null>,<Null>,2,2,Neuse,1
609,Point,2678,JB203,8419,UT TOMS CR,SR 2044,2001-06-20T00:00:00Z,Qual 5,Not Rated,35.906111,-78.525833,13,5.87,NA,1.16,192,0,0,10,90,0,<Null>,NA,60,26.9,77,6.9,5.3,3,10,0.1,0.2,5,9,3,10,<Null>,<Null>,2,2,Neuse,1
610,Point,2679,JB203,10936,UT TOMS CR,SR 2044,2010-04-22T00:00:00Z,Qual 4,Good,35.906111,-78.525833,20,4.796571,NA,1.16,192,0,<Null>,<Null>,90,10,<Null>,NA,60,16.2,82.6,5.6,8.6,1,2,0.1,0.3,5,16,3,10,<Null>,<Null>,2,2,Neuse,1
611,Point,529,BB110,3071,DEEP R,SR 1921,1983-08-03T00:00:00Z,Full Scale,Poor,35.904444,-79.854444,9,7.764602,0.167134118827,125,0,20,20,30,30,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,15,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
612,Point,530,BB110,3276,DEEP R,SR 1921,1984-08-13T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,7,7.45,0.167134118827,125,0,10,30,20,40,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,15,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
613,Point,531,BB110,3598,DEEP R,SR 1921,1985-07-29T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,11,7.601646,0.167134118827,125,0,10,70,0,20,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,15,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
614,Point,532,BB110,3884,DEEP R,SR 1921,1986-08-04T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,10,7.597778,0.167134118827,125,0,30,20,10,40,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,19,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
615,Point,533,BB110,4159,DEEP R,SR 1921,1987-07-20T00:00:00Z,EPT,Fair,35.904444,-79.854444,8,6.613043,0.167134118827,125,0,0,0,0,0,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,15,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
616,Point,534,BB110,4206,DEEP R,SR 1921,1987-08-25T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,16,7.004878,0.167134118827,125,0,10,5,10,70,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,19,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
617,Point,535,BB110,4664,DEEP R,SR 1921,1988-07-27T00:00:00Z,Full Scale,Good-Fair,35.904444,-79.854444,18,6.954639,0.167134118827,125,0,10,10,10,70,0,<Null>,NA,6,<Null>,<Null>,<Null>,<Null>,25,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
618,Point,536,BB110,4702,DEEP R,SR 1921,1988-08-16T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,11,7.275362,0.167134118827,125,0,10,5,10,70,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,20,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
619,Point,537,BB110,4997,DEEP R,SR 1921,1989-07-26T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,16,7.023214,0.167134118827,125,0,10,10,10,70,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,20,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
620,Point,538,BB110,5367,DEEP R,SR 1921,1990-07-09T00:00:00Z,Full Scale,Fair,35.904444,-79.854444,12,7.171429,0.167134118827,125,0,15,15,10,60,0,<Null>,NA,5,<Null>,<Null>,<Null>,<Null>,18,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
621,Point,2635,JB259,5858,UT NEUSE R,NR CAPITAL BLVD,1992-05-18T00:00:00Z,Full Scale,Fair,35.906944,-78.567222,5,6.713609,0.036701728024,0.43,215,0,0,5,80,15,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,1,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
622,Point,1810,JB220,3699,NEUSE R,US 1,1985-11-06T00:00:00Z,Full Scale,Fair,35.908611,-78.554167,10,7.165152,0.0262780809232,792,186,0,0,10,90,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,30,<Null>,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
623,Point,1811,JB220,3698,NEUSE R,US 1,1985-11-06T00:00:00Z,Full Scale,Fair,35.908611,-78.554167,9,6.986096,0.0262780809232,792,186,0,5,0,95,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,20,<Null>,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
624,Point,2446,BB460,3433,THIRD FORK CR,NC 751,1985-04-30T00:00:00Z,Full Scale,Poor,35.911111,-78.961111,3,7.92619,0.176308366483,16.4,235,0,0,0,99,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
625,Point,2447,BB460,6077,THIRD FORK CR,NC 751,1993-02-09T00:00:00Z,Full Scale,Poor,35.911111,-78.961111,8,7.675,0.176308366483,16.4,235,0,0,0,80,20,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
626,Point,2462,JB59,8418,TOMS CR,ROXBURY RD,2001-06-20T00:00:00Z,Qual 5,Not Rated,35.910278,-78.522778,12,6.053614,NA,2.83,204,20,20,10,50,0,<Null>,NA,0,26,59,6.8,5.3,3,4,0.2,0.2,5,14,8,10,<Null>,<Null>,2,2,Neuse,1
627,Point,2457,JB58,8225,TOMS CR,KEMBLE RIDGE DR,2001-01-31T00:00:00Z,Qual 4,Not Rated,35.910278,-78.520278,6,7.286598,NA,2.8,216,0,0,20,80,0,<Null>,NA,30,10,129,6.8,10.5,2,3,0.2,1,5,10,3,2,<Null>,<Null>,2,2,Neuse,1
628,Point,2464,JB60,5709,TOMS CR,SR 2044,1991-08-21T00:00:00Z,Full Scale,Good-Fair,35.910556,-78.525,17,5.718696,0.050666218035,3.07,207,5,0,5,80,10,<Null>,NA,100,<Null>,<Null>,<Null>,<Null>,3,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
629,Point,2465,JB60,6886,TOMS CR,SR 2044,1995-07-25T00:00:00Z,EPT,Fair,35.910556,-78.525,10,5.428947,0.050666218035,3.07,207,0,0,10,70,20,<Null>,NA,90,28,95,7.2,6.5,3,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
630,Point,2466,JB60,8114,TOMS CR,SR 2044,2000-05-11T00:00:00Z,Qual 4,Not Rated,35.910556,-78.525,8,6.027338,0.050666218035,3.07,207,0,10,20,50,20,<Null>,NA,70,23,82,8.1,6.7,3,<Null>,0.1,<Null>,5,13,3,10,<Null>,<Null>,2,2,Neuse,1
631,Point,2467,JB60,8139,TOMS CR,SR 2044,2000-07-06T00:00:00Z,EPT,Fair,35.910556,-78.525,11,5.573585,0.050666218035,3.07,207,0,0,10,90,0,<Null>,NA,70,26,118,6.9,7.1,2,<Null>,0.1,<Null>,5,15,3,10,<Null>,<Null>,2,2,Neuse,1
632,Point,2468,JB138,9733,TOMS CR,SR 2044,2005-08-25T00:00:00Z,EPT,Poor,35.910556,-78.525,6,5.556757,NA,3.07,207,0,0,0,100,0,<Null>,NA,0,22.7,82,6.6,7.2,2,3,0.3,0.4,5,10,3,9,<Null>,<Null>,2,2,Neuse,1
633,Point,1425,JB189,6751,LITTLE R,SR 2224,1995-01-27T00:00:00Z,Full Scale,Good-Fair,35.91,-78.3875,15,6.155,0.0124605644668,25.5957,287,40,10,0,40,10,<Null>,NA,70,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
634,Point,2460,JB57,8108,TOMS CR,NR FORESTVILLE RD,2000-05-11T00:00:00Z,Qual 4,Not Rated,35.910556,-78.493333,14,4.771006,NA,0.48,274,0,0,0,99,1,<Null>,NA,80,16,62,7.7,8.6,1,<Null>,0.1,<Null>,5,15,3,10,<Null>,<Null>,2,2,Neuse,1
635,Point,2461,JB57,8220,TOMS CR,NR FORESTVILLE RD,2001-01-31T00:00:00Z,Qual 4,Not Impaired,35.910556,-78.493333,17,4.764103,NA,0.48,274,0,0,10,90,0,<Null>,NA,60,10,62,7,9.1,1,1,0.1,0.2,5,17,3,10,<Null>,<Null>,2,2,Neuse,1
636,Point,2628,BB494,9843,UT MUDDY FK,SR 1915,2006-04-18T00:00:00Z,Qual 4,Fair,35.908333,-79.938611,11,6.548408,NA,2.56,745,0,10,10,50,30,<Null>,NA,40,18.399999999999999,176,7.1,7.5,3,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
637,Point,2458,JB294,8174,TOMS CR,NR CHELRIDGE DR,2000-08-21T00:00:00Z,Qual 4,Not Rated,35.911111,-78.517222,6,6.89386,NA,2.6,216,0,2,5,93,0,<Null>,NA,40,26,60,6.4,5.6,1,8,0.1,0.3,5,9,3,7,<Null>,<Null>,2,2,Neuse,1
638,Point,2459,JB294,8245,TOMS CR,NR CHELRIDGE DR,2001-01-31T00:00:00Z,Qual 4,Not Rated,35.911111,-78.517222,6,6.840602,NA,2.6,216,5,0,25,70,0,<Null>,NA,30,10.4,60,6.9,10.6,2,3,0.2,1,5,10,3,5,<Null>,<Null>,2,2,Neuse,1
639,Point,2638,JB266,5851,UT NEUSE R,NR RIVER BANK DR,1992-05-19T00:00:00Z,Full Scale,Good,35.911389,-78.569722,17,4.663226,0.170923276983,0.53,206,0,10,30,40,10,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
640,Point,2637,JB261,5860,UT NEUSE R,NR HIGHSTREAM DR,1992-05-18T00:00:00Z,Full Scale,Poor,35.9125,-78.561111,2,7.397647,0.0262458755904,2.5293,185,0,0,10,70,20,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
641,Point,2636,JB260,5859,UT NEUSE R,NR DUNN RD,1992-05-18T00:00:00Z,Full Scale,Good,35.912778,-78.569167,24,5.244056,0.168781487991,1.0822,205,0,0,30,55,10,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
642,Point,2634,JB34,9630,UT NEUSE R,DUNN RD,2005-08-15T00:00:00Z,Qual 4,Not Rated,35.913889,-78.570556,8,5.797222,NA,0.97,212,0,10,30,60,0,<Null>,NA,100,23.5,75,6.8,6.9,2,4,0.2,1.2,5,11,4,8,<Null>,<Null>,2,2,Neuse,1
643,Point,2571,JB30,8984,UT FALLS LAKE,BENTHAM DR,2002-08-29T00:00:00Z,Qual 5,Not Rated,35.915278,-78.611667,7,6.1975,NA,0.97,319,30,10,30,30,0,<Null>,NA,0,21,97,7,<Null>,3,<Null>,0.2,<Null>,5,20,8,10,<Null>,<Null>,2,2,Neuse,1
644,Point,2572,JB30,9632,UT FALLS LAKE,BENTHAM DR,2005-08-15T00:00:00Z,Qual 4,Not Rated,35.915278,-78.611667,8,6.2275,NA,0.97,319,0,0,20,80,0,<Null>,NA,95,24.9,95,6.9,5.7,1,2,0.1,1,5,12,4,8,<Null>,<Null>,2,2,Neuse,1
645,Point,2573,JB30,9760,UT FALLS LAKE,BENTHAM DR,2006-01-20T00:00:00Z,Qual 4,Not Rated,35.915278,-78.611667,12,6.115789,NA,0.97,319,0,10,50,20,20,<Null>,NA,90,8.1,91,6.2,12,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
646,Point,1548,BB377,7492,MARYS CR,SR 2174,1998-02-10T00:00:00Z,EPT,Fair,35.915833,-79.308056,17,4.217647,0.00631796123558,11.370827,425,20,35,5,40,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.2,<Null>,4,18,8,10,<Null>,<Null>,1,1,Cape Fear,1
647,Point,1549,BB377,8319,MARYS CR,SR 2174,2000-10-19T00:00:00Z,Full Scale,Good-Fair,35.915833,-79.308056,25,5.544983,0.00631796123558,11.370827,425,30,30,20,20,0,<Null>,NA,90,15,111,7,9.6999999999999993,5,<Null>,0.3,<Null>,5,20,15,10,<Null>,<Null>,1,1,Cape Fear,1
648,Point,1550,BB377,9069,MARYS CR,SR 2174,2003-03-10T00:00:00Z,EPT,Not Rated,35.915833,-79.308056,18,3.623529,0.00631796123558,11.370827,425,25,30,25,20,5,<Null>,NA,80,9.3000000000000007,66,5.9,9.1,8,<Null>,0.4,0.7,5,16,12,10,<Null>,<Null>,1,1,Cape Fear,1
